Comment,Label
"A lot of speculation,  who tf are all these people,  Reynolds is awesome,  hes got the right to be an asshole,  its Hollywood,  they're all assholes ????????",not cyberbullying
A real person with courage and integrity!,not cyberbullying
"Actors shouldn't be modelling and if they do maybe they should learn first, nothing wrong with that ?????",not cyberbullying
"Actress are just actress not a model , model hits different ????",not cyberbullying
actually he is really funny,not cyberbullying
Actually it's her lipstick which actually ruined everything üòÇüòÇ,not cyberbullying
Actually liked the copy to be honest besides the hair flip and so on but sheís not a model anyway so she wouldnít be as stiff as Kendall.,not cyberbullying
Actually she walks better ????,not cyberbullying
Actually true. Really Liked what she said.,not cyberbullying
"After these speech she released so many song of her story like Love you like a song, feel me and many other was satisfying me with it and i proud of her, she's strong woman and mind ?? loved it her",not cyberbullying
Ahh... Would be fun if he could come to Malaysia and do this...,not cyberbullying
"All these Instagram HOWS, you need to listen!!!",not cyberbullying
"Always been a fan of her!!!""",not cyberbullying
Am I the only one who thinks jhanvi slayed the walk ??,not cyberbullying
Amber Heard is NOT lying... Y'all little pathetic a$$ just gotta make the men innocent just because he's handsome and Famous..,not cyberbullying
Amusingly amazing!!,not cyberbullying
"And that is why shes always been one of my idols. As someone that as struggled with my health, and self worth over the years, i finally am learning to be more accepting of myself and to love myself the way i am",not cyberbullying
Anyone whos hating on this man in the comments how many people show up to your comedy show?,not cyberbullying
Anyone with a brain who watched the trial(not the stupid unfunny memes) would know johnny is guilty.  Ya'll are disgusting making fun of a women who's a victim of abuse and sexual assault,not cyberbullying
Are she is doing her own way... fabulously why comparing,not cyberbullying
Are u really comparing actress with model ?? That's not fair ??,not cyberbullying
Aww Selena ur words mean so much to me right now.  Your braver then you no it I wish you many more  blessings in life. Iím a text away ????,not cyberbullying
Be brave don't give up...,not cyberbullying
"Be glad youíre away from a man who wouldnít protect you. He threw you under the bus!""",not cyberbullying
Beautiful lady inside and out,not cyberbullying
Beautifully said,not cyberbullying
Beauty with brain ??????,not cyberbullying
Because she have her own style,not cyberbullying
Best comedian ????????,not cyberbullying
Best speach ever. Thank you. Young peps. Love is best.,not cyberbullying
Best video I've watched today??,not cyberbullying
Better and sexy than Kendall,not cyberbullying
Bless her sweet little heart ????,not cyberbullying
Bless you sweet girl,not cyberbullying
boss lady ????,not cyberbullying
Both did a great job,not cyberbullying
Both did good and please stop comparing ??,not cyberbullying
Brain with beauty ?,not cyberbullying
BRAVO ??,not cyberbullying
Bravo. Selena is a really sweet lady.,not cyberbullying
Bro is real alpha man??????????,not cyberbullying
Bro they earn my money from brand endorsement so this there source of earning problem in us who trust them blindly,not cyberbullying
broken keep bring back to together...healing..true happiness,not cyberbullying
Bruh can't you just .....like no need of explanation...she is lowkey to copy kendall...like just not her ??,not cyberbullying
Btw Janvi there copied her mother and even she is not a professional model..you cannot compare them or blame her..,not cyberbullying
But  jaanvi is more cute n beautiful,not cyberbullying
But Janhavi is too hott ??????????,not cyberbullying
But jhanvi hitss differentt ?,not cyberbullying
But one thing is common and that is NEPOTISM...??,not cyberbullying
camille will be my lawyer from this day forward. stoic as hell. didnt faulter. take my money please!!!!,not cyberbullying
Careful guys..either fall for the looks or either for the right one..both have  consequences..lovely family is warm.,not cyberbullying
Champion!,not cyberbullying
"Come on A Model is a Model, Actress can't beat them",not cyberbullying
Come on jhanvi looked sexy here.,not cyberbullying
Communication skills ? Radhe ? Radhe,not cyberbullying
Confident Queen ??,not cyberbullying
Damn girl u are born a legend......,not cyberbullying
Damn people are really hating on this guy. I thought it was funny,not cyberbullying
Damn she nailed it,not cyberbullying
"Definitely a great Miss World.""",not cyberbullying
"Depp's Lawyer fights her like its personal, awesome.",not cyberbullying
Disney is spiraling down after Depp left them. And sincerely hope Depp not go back. Disney doesn't deserve to have him back. And.... Good bye Amber. I will not see you again forever in big screens.,not cyberbullying
Do not blame on her?? it's not the same it's so different,not cyberbullying
Don't compare and discourage,not cyberbullying
Down to earth,not cyberbullying
Dude it's different ??,not cyberbullying
"Even according to me she has worked in best meaningful movies ??""",not cyberbullying
"Everybody on this channel seems to bitch about bits being unfunny, and are totally missing the nuanced humor of actually seeing the world. Go touch grass, then you'll get it. Very funny bit.",not cyberbullying
Everyone does bad things. Focus working on yourself so YOU can do better. Stop picking on people because of the bad things they do. You need to stop. No one deserves hate. I pray he gets therapy and learns from this. You're no better.,not cyberbullying
Everyone has their own style   and jhanvi carried well,not cyberbullying
Everyone is good at their place ??,not cyberbullying
"Everyone is saying nepotism,but why didn't anyone think she might be called by the designer to lead the show, which means she doesn't want to do modelling but offered to do it with payment??her walk is not good for an actual modelling but it still looks good to me.",not cyberbullying
Excellent inspiration for aspiring Hollywood types like myself!!!?????,not cyberbullying
FACTS...????????? LOVE U BABYGIRL,not cyberbullying
Family and friends around her were helping and supporting her. If not she will be .....??,not cyberbullying
Fantastic awesome ?,not cyberbullying
Fantastic ??,not cyberbullying
"For being an actress, she is doing it so well ??.. remember she is not a model",not cyberbullying
For godsake kendal is a supermodel dont i repeat!!!!!! DON'T COMPARE HER WITH JANVI. Both of them belong to different fields,not cyberbullying
Funny as hell,not cyberbullying
"Genuinely, heartfelt and perfectly spoken",not cyberbullying
Glad that she finally got someone who will never let her be broken again ?,not cyberbullying
Go girl!?,not cyberbullying
Go out and do what makes you happy ,not cyberbullying
God created a masterpiece ??,not cyberbullying
"Good man ??????""",not cyberbullying
Good one,not cyberbullying
Gorgeous and smart ?,not cyberbullying
Gosh..... I really want this type of confidence and communication skills......I Love U Priyanka......???,not cyberbullying
Great I love you sweet video ?????,not cyberbullying
Great job girl...powerful legend ?,not cyberbullying
Great message,not cyberbullying
Great respect from Edinburgh Scotland...you are a very special human,not cyberbullying
"Great Words of Wisdom. , may God bless you and keep you in his care  and bless you and your family safe ,healthy and that you prosper in Every part of your life with",not cyberbullying
"Gurll ate n left no crumbs ???""",not cyberbullying
Hahahahahaha,not cyberbullying
Happiness is a mind set ??,not cyberbullying
He ate and left no crumbs ??,not cyberbullying
He has a fun and spontaneous side to him ,not cyberbullying
He is just too cute... Can't resist,not cyberbullying
he took'it back ?? mother???land??,not cyberbullying
Her confidence level is next level ?,not cyberbullying
Her expressions ??,not cyberbullying
Her eyes say it all<3,not cyberbullying
Her fashion sense is spot on.. ??,not cyberbullying
Her presence of mind and the way she answers it's  always admirable ??????,not cyberbullying
Her skills?,not cyberbullying
Her words are more beautiful than ANYTHING visual !!!,not cyberbullying
Her words come through the bottom of her heart purified by the right thoughts ?.,not cyberbullying
He's lucky he got out alive...,not cyberbullying
He's really good at accents.,not cyberbullying
How cute is he!!!,not cyberbullying
"How extremely awful for this lovely man to have to challenge this peice of work. The man for his entire life, has kept his life private. And he has to be humiliated by this woman who he apparently hadnít known what a deceiving,cruel, heartless person she was.",not cyberbullying
Howís that copying? Literally how all models walk the runway.,not cyberbullying
I  can read all inside ?,not cyberbullying
I admire her bc of her mind set,not cyberbullying
I also want the Confidence??,not cyberbullying
I am not a big fan of jhanvi kapoor but Kendall Jenner is a model you can't compare it with an actress. You cannot expect Kendall Jenner to be a great actress likewise you cannot expect jhavi to be better than Kendall or as good as Kendall,not cyberbullying
I appreciate all of them please dont compare anyone jahnvi is a good actress...n Kendall she's a goddamn prof model for years,not cyberbullying
I bet Elon will have to pay her someday,not cyberbullying
I did not like janvi's walk that much  ( what else do you expect she's an actress not a model) but how the hell is that a copied walk,not cyberbullying
I do that it's so much fun,not cyberbullying
"I do this on accident. I travel alot, because I'm in the Army and if we are there long enough , I'll start copying the foreign accents I'm different areas",not cyberbullying
I do this too omg ??,not cyberbullying
I donít care if she doesnít copy right.  Both ladies look gorgeous!  ??,not cyberbullying
I don't know why people are hating janhavi she is the very best in what work she did till today. ,not cyberbullying
I don't understand a thing.. why can't she atleast lie properly.. ??????,not cyberbullying
I don't understand why people are so hateful to him . He's one of the funniest comedians I've seen and I've seen quite a lot of em (not in person obviously),not cyberbullying
I don't understand why the comparison. Each woman is extremely accomplished jhanvi has curves so to you it's a flaw ... Some people don't realise that you should support woman not tear them down???,not cyberbullying
"I feel happy people still appreciate good soul but its after once you successful, but when you are painful that time you are alone",not cyberbullying
I feel like jhanvi could do better but the problem was her dress and she wasn't confident enough,not cyberbullying
I feel they were both guilty,not cyberbullying
I find Trevor Noah incredibly funny. Idk why there's so many haters.,not cyberbullying
"I guess growing up,  speaking 4 or 5 languages is a bit of an advantage ????""",not cyberbullying
"I have so much respect for her. I can't wait for her wedding.  She deserves the world and with benny, they show true love ??",not cyberbullying
I like her attitude ?,not cyberbullying
I like her casual attitude ????,not cyberbullying
I like her sense of humor?Priyanka ?,not cyberbullying
I like Jhanvi's performance. People criticize her just bcoz she is a nepo kid.,not cyberbullying
I like this guy is funny ????,not cyberbullying
I liked it she is not a ramp walk artist she is an actor nd she did best for other profession too,not cyberbullying
I love her confidence and communication skills ?,not cyberbullying
I love her energy she has her own pesona,not cyberbullying
I love her for her confidence n simplicity???,not cyberbullying
"I love her intelligence, in all the interviews the way she replies is amazing .",not cyberbullying
I love her she's so inspiring,not cyberbullying
"I love her so much, she's so perfect, and confident ?",not cyberbullying
I love her talk?,not cyberbullying
I love her?,not cyberbullying
i love jhanvi,not cyberbullying
I love Selena so much! She's such an awesome person. ? I'm happy she raises awareness about different mental health things.,not cyberbullying
I love that she make sense ???????,not cyberbullying
I love youer werds??you are a beautiful soul that's what counts blessing,not cyberbullying
"I really like this guy, and he's a cutie.",not cyberbullying
"I think for those who hate the joke, they need to understand it first! I mean it wasn't that funny, but i don't understand why it should elicit hate responses!",not cyberbullying
I think heís a freak and a weirdo. Glad sheís free of him!!,not cyberbullying
I think janvi is better,not cyberbullying
"I think Jhanvi Was Hot ??????""",not cyberbullying
I think Johnny is now dating Camille hehe. What a great team he had. I still watch these because the case was the funniest ????,not cyberbullying
I think kendall was nervous and jhanavi had attitude and confidence,not cyberbullying
I think she is just so simple. So empty inside.. she is got nothing to offer,not cyberbullying
I think she killed it more,not cyberbullying
I will always love Seo Yeji. That woman doesnít deserve all the hate she got,not cyberbullying
I wish I could have half of her communication skill,not cyberbullying
i wish i didnt kno how u feel??but i do... healing takes time,not cyberbullying
I would like to see you speak in south Indian accent.,not cyberbullying
"Iím actually with Amber on the pictures issue, dealing with alcoholic is hard",not cyberbullying
"if u realize there is no way of winning start cry, best tactic everytime",not cyberbullying
"If you compare two different people, one is an actress and one model tow very different people, so it is not fair and right that you are comparing them ??",not cyberbullying
"It is her own style""",not cyberbullying
It was just part of acting,not cyberbullying
itís a catwalk? and plus sheís an actress so why are you comparing?? ??,not cyberbullying
"Itís funny how so many people say heís not funny and have never found him funny but theyíre watching a video and commenting on a guy that they already believed to be terrible. Two, there are a bunch of people who say that his accent is spot. How can that be when there are so many people who suggest that heís not good at what he does?",not cyberbullying
Its not about comparing. Instead of trying so hard and looking ridiculous Janvi shouldve just walked modestly and it would look 100X better,not cyberbullying
It's not copy.. it's different,not cyberbullying
It's totally different style don't copied ???,not cyberbullying
Jahnvi did better,not cyberbullying
Jahnvi did pretty well modeling ?? ?,not cyberbullying
Janhavi is better than original,not cyberbullying
Janhvi Kapoor was amazing as being an actress but yet was compared to a Model she didn't even try to copy??,not cyberbullying
Janvhi tried her best ,not cyberbullying
Janvi is looking better,not cyberbullying
Janvi kapoor looks beautiful and confident confident,not cyberbullying
Janvi ur the most best actor in the world let ppl say wat they want but believe me ur the goat !,not cyberbullying
Jeez... Y so much hate for Trevor tho?,not cyberbullying
Jhaani is not a model she is an actress so why to comparw her walk with Kendall,not cyberbullying
Jhanvi actually slayed ,not cyberbullying
Jhanvi have a south Indian curve which make her look more stunning.... People should stop complaining and also see the efforts ?????,not cyberbullying
Jhanvi is better,not cyberbullying
Jhanvi is not a model she is a actress so don't compare,not cyberbullying
Jhanvi looking better than Kendall,not cyberbullying
Jhanvi looking too much beautiful then other one,not cyberbullying
Jhanvi slayed ???,not cyberbullying
Jhanvi was doing very good.........???,not cyberbullying
"Johnny classic, he decided to hire a female lawyer to discredit amber",not cyberbullying
Just great ?????????,not cyberbullying
Just the confidence in that answer and the advice that it tells everyone. Powerful,not cyberbullying
justice for Seo Yea-ji !!!! even her ex said she is not responsible for his behavior on set and that it was due to mental health. why do ppl keep putting back on the woman even after the man claimed full responsibility???,not cyberbullying
Keep shining.,not cyberbullying
Kendal Jenner best ??,not cyberbullying
Kendall is a model and Janhvi is an actress. How can u compare a professional models walk to an Actress's ??,not cyberbullying
Kendall is better.,not cyberbullying
"Kendall isnít even that good yet sheís been modelling, yet jhanvi strutted with so much style and pizzazz ??",not cyberbullying
Kendall Jenner is a Model but Jahnvi is an actress. How can u compare a model with an actress ?plus Jahnvi did not try to copy.She Slayed in her own way ????,not cyberbullying
Kendall Jenner is so amazing,not cyberbullying
kendall jenner love herrrr she is the best kardashian sis,not cyberbullying
Kendall was born to slay ??????????,not cyberbullying
kendalll slayeddd,not cyberbullying
Kind of sounded like norce for a bit ngl,not cyberbullying
Kudos Beautiful One??,not cyberbullying
Let her not copy..she is doing in her own way,not cyberbullying
Like your accent young man. Keep posting,not cyberbullying
LOL THEN U GO TRY IT ALSO SHES NOT A  SUPERMODEL LMAO ALSO U TRY IT IF I LOOKS THT EASY TO U ?????????,not cyberbullying
Look beautiful ?,not cyberbullying
Looks cute to me.,not cyberbullying
Love her look here,not cyberbullying
Love her! Sheís real!,not cyberbullying
"Love this message. We live, we make mistakes, we experience, we learn, we grow and hopefully we become better people and learn to love and take care of each other.?",not cyberbullying
Love this person so much ,not cyberbullying
Love this! She looks so beautiful too.,not cyberbullying
"Love this! ?? I share powerful motivation for women stepping into their purpose, come vibe with us. ??",not cyberbullying
"Love, love, love her ??????",not cyberbullying
Luv this real talk,not cyberbullying
"Man, whatever Johnny Depp paid for his Lawyer, she was worth every damn penny",not cyberbullying
Maybe Amber isnt but I believe her.,not cyberbullying
Maybe the thing that was missing were someone who would have cared  about you for real,not cyberbullying
"Me too, money isnt everything",not cyberbullying
Miss World ?? for a REASON ?,not cyberbullying
More  Power to you?,not cyberbullying
Most mature women ?,not cyberbullying
Ms. Vazquez has become a role model for law students everywhere.,not cyberbullying
My fame of mind is what makes my life worth living,not cyberbullying
"My prayers go to the girl who had to handle this monster""",not cyberbullying
"My respect for that guy who stood for the good boy community ?? , really she told bad boy ??",not cyberbullying
Never lose you're acent is Sexy,not cyberbullying
"ngl, she is ACTUALLY good!!",not cyberbullying
Nice guy ??????,not cyberbullying
Nice lesson,not cyberbullying
Nice. Heartfelt and sincere.,not cyberbullying
No hate,not cyberbullying
No issues she is an actress not a model,not cyberbullying
No over acting first time üòÇi like her,not cyberbullying
Now that's a classy reply.???,not cyberbullying
"Obviously she can't, she's actress not a model still she did her best  ",not cyberbullying
Oh damnn!! She slayyed it ! I love it?,not cyberbullying
"Oh darling , just can imagine what youíve been through ?",not cyberbullying
Ok now compare janvi's acting with kendall??,not cyberbullying
Ok this is just silly janvis lost her mum ... leave her alone and Kendall is only famous we all know Kardashians are only famous because kim k's sex tape went viral ... not become they were talented the world seen them grow they arent famous from scratch,not cyberbullying
OK why are people so pressed in the comments? If you didnít laugh then move on.,not cyberbullying
"Ok, but i LOVE the adam project",not cyberbullying
Omg I am so obsessed with her answer ?????????????,not cyberbullying
Omg I love rewatching this it's the best shit on youtube,not cyberbullying
Only not racist when you do it to white people,not cyberbullying
Our queen ????,not cyberbullying
Please stop hating,not cyberbullying
Pls do not compare the walk jhanvi's dress is a little bit different ?,not cyberbullying
Powerful  Speech  I Agree,not cyberbullying
Pretty,not cyberbullying
Priyanka chpra and her epic replies ??,not cyberbullying
Queen behaviour ????,not cyberbullying
Queens never be copied,not cyberbullying
REAL WOMAN is Camille Vasquez. Brilliant.,not cyberbullying
Remember! Never hesitate to Rise and Grow. @GlobalEdits07,not cyberbullying
Respect for bro ??,not cyberbullying
Respectable young woman!,not cyberbullying
Ryan Reynolds is in love with himself.,not cyberbullying
Ryan's the best ??,not cyberbullying
sass queen fr,not cyberbullying
savage queen,not cyberbullying
Scar Jo dodged a bullet and now she has a funny cute husband ?,not cyberbullying
See guys janvi kapoor is a actress and she tried to be a model it is so good but kendall jenner is a professional paid model don't compare these both,not cyberbullying
Selena climbed out of a dark place it took awhile but she never gave up on herself. A truly amazing and lovely woman. ?,not cyberbullying
"Selena, you look awesome",not cyberbullying
Send me a million and I can be happy for you,not cyberbullying
Seriously laughing hard on the cheap mentality of the people who come and criticize each and everything just sitting at their home without any worthful work. Janvi is too good on her level why to compare her with a model I mean why so much hate for her. Stop hating everything ??,not cyberbullying
She Always beautiful no matter what???,not cyberbullying
She always has the best dialoguess for real,not cyberbullying
She always quotes her words flawlessly,not cyberbullying
She ate that ?,not cyberbullying
She copied it and slayed it. ????,not cyberbullying
She defines 'aura' for a reason ??????????????????,not cyberbullying
She did a great job ?,not cyberbullying
She did better ???,not cyberbullying
She did better Don't comper with foreigners,not cyberbullying
"She did great, stop judging",not cyberbullying
She did her best ?,not cyberbullying
She did it beautifully,not cyberbullying
She did it in her own way. ? I don't know y people are doing comparison in everything.,not cyberbullying
"She did it perfectly in her own way,  deal with it",not cyberbullying
She did it well,not cyberbullying
"She did nice ,we should not pin point every single thing and stop spreading negativity",not cyberbullying
She didn't copy kendall she copied her own professional mother SHREE DEVI ?,not cyberbullying
She didn't even hesitate.... Hats off,not cyberbullying
She does not copy anyone she is learning new style of rampwalk,not cyberbullying
She has acted well,not cyberbullying
she has always been so incredibly honest and i applaud her for that,not cyberbullying
She has been very mature since Young age and her voice! ?,not cyberbullying
She has done pretty well,not cyberbullying
She has emerged through fire..,not cyberbullying
She has great communication skills!,not cyberbullying
She is a good motivational speaker. I always learn something new from her videos.,not cyberbullying
She is a model and Janhvi is actress an actress should not be compared with a model,not cyberbullying
She is a smart cookie,not cyberbullying
She is a strong woman ????,not cyberbullying
She is a true HERO?,not cyberbullying
She is amazing ?,not cyberbullying
She is best,not cyberbullying
She is better than originally,not cyberbullying
She is cute ??,not cyberbullying
She is good ..they are different,not cyberbullying
She is good by itself ??,not cyberbullying
"She is just doing what she's asked to. She's not a professional model like the other one, stop comparing everyone everytime.",not cyberbullying
She is my hero!!!,not cyberbullying
She is not even copying....her intention is not that....She is just showing her skills...,not cyberbullying
She is right.,not cyberbullying
She is so classy ??,not cyberbullying
She is so honest and confident.,not cyberbullying
she is so ICONIC,not cyberbullying
She is so pretty,not cyberbullying
"She is so simple & genuine , that we need nowadays .",not cyberbullying
She is something that no one can ever be?,not cyberbullying
She is superb?,not cyberbullying
She is wonderful ?,not cyberbullying
She knows how to use words intelligently.. A woman of intelligence ..PC,not cyberbullying
she looked fabulous in that red dress,not cyberbullying
She looks great. many can't ?,not cyberbullying
"She meant that some boys are there will pretend they are so good to you until they get what they want ,after that they will show you their bad real face.but there are some other boys who seems like they don't treat you well but actually have a good character. that's what she meant I think.",not cyberbullying
SHE MUST GIVE BACK MONEY TO JOHNY DEEP THOSE 7 MILIONS,not cyberbullying
She nailed mannnnn damnnnn??????,not cyberbullying
She never stopped being human and honestly is the most loving soul in the industry ?,not cyberbullying
She really acted like old Hollywood beauties ,not cyberbullying
SHE SAID WHAT SHE SAID !!! Thats our lady,not cyberbullying
She said what she said... Damn,not cyberbullying
She slayed ???? -pretty like hell- ??,not cyberbullying
She speaks really well,not cyberbullying
"She thought this was her acting or something?? but anyway modeling is not about who is the person is, its about how we serve the walk. It must give the elegance, powerful and confident catwalk/horsewalk. Janhvi has the attitude not the power and elegance.",not cyberbullying
She tried her best. Let appreciate her rather than comparing to the OG?,not cyberbullying
She used to be so pretty and natural ??,not cyberbullying
"She was amazing, what a lawyer!! ????",not cyberbullying
She was too pretty back then,not cyberbullying
she will be iconic forever,not cyberbullying
Sheís a brilliant person with a character rooted in honesty,not cyberbullying
Sheís a Rock star ??????,not cyberbullying
Sheís a sweetheart thru & thru with a gorgeous unique voice. First loved her when I listened & watched her video ï Just Want To Look Good For Youî,not cyberbullying
"Sheís totally right, because nobody will hit yourself itself, it doesnít matter how hard you hit , itís about how much you can take and keep fighting, how much you can suffer and keep moving forward. ????",not cyberbullying
She's DIVA??,not cyberbullying
Shes not copying she took inspiration from Kendall Jenner,not cyberbullying
She's not professional model bruhh don't compare her with kendal??,not cyberbullying
She's really smart....I really love watching short videos of her.,not cyberbullying
She's so so right. What a beautiful soul and personality.  She's definitely got it together now. ???,not cyberbullying
She's truly a human being with high Aura?,not cyberbullying
"Slayyyyy!!!!! Nitya n kiana""",not cyberbullying
"So brave , and awesome to share with us",not cyberbullying
So damn funny but he was telling the truth. Born and raised ??????????????????,not cyberbullying
So funny,not cyberbullying
So glad you are better?,not cyberbullying
So gracefully,not cyberbullying
So jhanvi kapoor is better,not cyberbullying
So strong...,not cyberbullying
Sorry but jhanvi is killing it,not cyberbullying
Stay strong,not cyberbullying
"still funny, after all these years!",not cyberbullying
Still she tried. And it was quite good.,not cyberbullying
still shi tried her best,not cyberbullying
Stop bringing down a woman to praise another woman she works hard  ,not cyberbullying
Stop comparing,not cyberbullying
"STOP COMPARING her with professional models. She's an actor for God's sake""",not cyberbullying
Stop saying bad things to the beauty queen,not cyberbullying
Stop trolling her she did the best?,not cyberbullying
Such a powerful speech,not cyberbullying
Such a smart lady... i juz lov her intelligence,not cyberbullying
Thank you sweetheart. Walked down that street couple times,not cyberbullying
"Thanks for being real! I have nothing but iam a good worker! I have that, your doing it right!",not cyberbullying
That guy is definitely a good boy?,not cyberbullying
"that guy saying ""who even watches this guy"" bro maybe i do because its funny. not like your typical type of bullshit you see everyday when looking in the mirror that gets, YOU laughing at yourself",not cyberbullying
That is soooo moving!!!! Wow!!!,not cyberbullying
That is the confidence level,not cyberbullying
that is y they are called Actors??,not cyberbullying
Thats hollywood. Glad she is good now.,not cyberbullying
"That's just a concept. It's not ""copy"" as Kendall didn't invent it and it's a popular concept. Many music videos also have this same particular scene.",not cyberbullying
Thats the Girl for THIS WORLD. Not  the FAKE  ONE.,not cyberbullying
That's their work bro we should be self aware.,not cyberbullying
That's there job....u get your mind on track and act wisely...it's not there job to take care of world,not cyberbullying
That's why I like her the most?,not cyberbullying
That's why I love her attitude ?,not cyberbullying
That's why she is one of the most successful women from india,not cyberbullying
The best,not cyberbullying
The confidence,not cyberbullying
The confidence in her is so beautiful?,not cyberbullying
"The first time I listen this  feel like I'm dreaming until I understand that ""if you are broken you do not stay broken ??????",not cyberbullying
the girl is surely grown up watching fantasy movies about bad boy romantic films......she dosent know how the ALPHAS really are ! it is in their nature that they dont care about other feeling ! they just do what their mind says them to do.,not cyberbullying
The interviewer has asked the  relevant question and she answered it so fearlessly and confidentially,not cyberbullying
The ppl who defend him some bunch of ppl who i never wanna meet...( this aint t insta),not cyberbullying
The shadow of brave??,not cyberbullying
The sweetest and the most hilarious  victory for Johnny Depp and his  Lawyers.,not cyberbullying
The tremble in her voice???,not cyberbullying
The way her voice is shaking is making me cry ??,not cyberbullying
"The way she said ""I claimed my own story""  ó I felt that in my soul. Thank you for making us visible, Selena. ??",not cyberbullying
The way she talks Soo adorable ??,not cyberbullying
Thereís nothing to hate about these women. Stop making up lies,not cyberbullying
"There's a difference between professional super model and an actress , do stop comparing",not cyberbullying
They both are best in their own field so stop judging them,not cyberbullying
they both are legends the one who compares them is a fool,not cyberbullying
"They both got what they deserved""",not cyberbullying
They both slayed their own ways,not cyberbullying
"They walk completely different why would you even cimoare them, they are completelu differeny and it doesny make one better tjan the other",not cyberbullying
This case opened eyes of alot of people. This case told us once again that woman is not the victim always. ,not cyberbullying
This case told us not to believe a crying woman until u check all the facts.,not cyberbullying
"This case told us that only a woman can prove that other woman is lying ??""",not cyberbullying
This guy gives me hope that even I could become a comedian Ö. ??,not cyberbullying
This guy only got to where he is because of how much heís willing to bend over for the liberal controlled media,not cyberbullying
This is a beautiful message,not cyberbullying
This is absolutely inspirational??,not cyberbullying
this is called being yourself,not cyberbullying
This is not a women. Real good woman respect her self.,not cyberbullying
"This is one of the best messages I have heard in a long time, given from a famous young person!!!? message of hope ?? ??",not cyberbullying
This is pretty funny lol,not cyberbullying
"This is proof you shouldn't believe ""victims"" until evidence is presented. There are way too many liars like Heard.",not cyberbullying
"This is put out of context, heís creepy and I donít like him but he is making these faces because he didnít get the screen time he deserved at the time the superhuman mv came out, they are reacting to the superhuman mv and he only got like 7 seconds in total of the whole video, he was making those faces throughout the whole video",not cyberbullying
This is really nice. But I gotta say try not having anything and see how broken you feel than. She has a lot to be grateful for,not cyberbullying
This is the one of the GREATEST SPEECHES I've ever heard!!!!??,not cyberbullying
This is the realest sheeee,not cyberbullying
this is way i love her,not cyberbullying
this is why we love chopra,not cyberbullying
This one looks unique and that one is very plain like a normal one ,not cyberbullying
This video is trying so hard to make Amber looka bad.Johnny had to pay 2 million to Amber Hears too after this case.So both are hurting each other.Johnny is way older than her and he cheated his partner to get married her.depp is not innocent.,not cyberbullying
This video looks so fulfilling even after so many yrs,not cyberbullying
This was time she has fresh lips surgery that's why her face lips look weird,not cyberbullying
This woman mesmerises me every time she speaks....,not cyberbullying
This young lady is so brilliant,not cyberbullying
THIS.....will NEVER get old......??,not cyberbullying
To be honest whoever made her do this its their fault but I think she looks really cool ... and her mums passed away leave her alone,not cyberbullying
"To me Jahnvi looks good. I dont know why they linked the 2 videos and say Jahnvi was ""copying""",not cyberbullying
Truth teller?,not cyberbullying
U r an inspiration for many people ? love to you ????,not cyberbullying
VERY well done?,not cyberbullying
Very well said ???,not cyberbullying
"Very well said, very classy lady ?",not cyberbullying
Very wise young lady?,not cyberbullying
Wait. How else are they supposed to walk. Why the comparison? Itís a catwalk .Each one has their own style and they are all gracefully done. This is just to berate her. Not fair.,not cyberbullying
Well Said ????,not cyberbullying
Well she is beautiful though,not cyberbullying
Well speaking ?,not cyberbullying
Well told dear I appreciate you love you,not cyberbullying
What a beautiful person,not cyberbullying
What a beautiful soul ??,not cyberbullying
What a confident lady ?,not cyberbullying
What a wonderful human being ??????????,not cyberbullying
What about all those people who copies whenever a person does something on Instagram and it goes trending ?????????? SHAME ON ALL THOSE PEOPLE WHO HATE ON HER. As if you all CAN walk like GIGI HADID?????? go find some job bruh??????,not cyberbullying
What an amazingly human response,not cyberbullying
What is there to copy? On a ramp you have to walk like this only! What is copied are those men in black...which must be the chorographer's idea. I personally liked her attitude ??,not cyberbullying
What Kendall was doing is called a cat walk and janvi was doing a horse walk l donít why everyone hates janvi just becos she is a nepo kid but no one focused on her acting it is really nice,not cyberbullying
"What's the point in commenting if you don't find it funny, the need isn't there",not cyberbullying
When you have to keep all your pain to yourself. Because of the stereotypes people have.??,not cyberbullying
Why did I like the janvi kapoor walkk?,not cyberbullying
"Why do you care if she copied (no hate, just love for Indian star )",not cyberbullying
Why everytime trolling her ????,not cyberbullying
"Why jhanvi is getting hate bro? She was give an offer, she was getting paid. Its not her fault. She just got a opportunity and she took it",not cyberbullying
Why y'all are always comparing she's an actress for god's sake stop it??????,not cyberbullying
Why you all are trolling her??????she is a good and best actress,not cyberbullying
Why you troll her,not cyberbullying
Wisdom with Beauty ?,not cyberbullying
"Wishing you the peace and happiness you deserve, your amazing sweetheart. ???? God bless you and yours ??",not cyberbullying
Woman supporting woman is the best thing ever,not cyberbullying
Wow pathological liar !!! Nothing from her mouth is true. Lawyer did a great job.?? Rare person to find this kind of lawyers.,not cyberbullying
Wow this made me change my opinion about her. God bless you,not cyberbullying
Yaas Janvi kapoor is a actress not a model but she still slayed it more than the other girl ,not cyberbullying
Yeah girrrrrllll......you said it ?,not cyberbullying
"Yes Sister , You are very positive person ????",not cyberbullying
Yes ?? stay strong ?? And life must go on ??????,not cyberbullying
You are a beautiful young woman  Selena God bless you and God speed,not cyberbullying
"You are PRECIOUS JUST THE WAY YOU ARE, sweetheart ????",not cyberbullying
You are really strong girl,not cyberbullying
